entry_dt,exit_dt,days,symbol,size,entry_price,exit_price,pnl,cost,cost_risk_adjusted
2019-03-18 16:00:00,2019-03-22 16:00:00,5,SE,38,24.225,24.04,-7.030000000000086,0.73,0.002146644385577827
2019-03-19 16:00:00,2019-03-26 16:00:00,6,TRCH,360,1.76,1.66,-36.00000000000003,4.86,0.012893168491724128
2019-03-19 16:00:00,2019-03-22 16:00:00,4,JKS,45,20.82,18.22618895445805,-116.7214970493878,0.8,0.003021629774328941
2019-03-20 16:00:00,2019-03-22 16:00:00,3,PTI,220,4.38,4.07,-68.1999999999999,2.97,0.014836929250661735
2019-03-21 16:00:00,2019-03-25 16:00:00,3,ZS,20,71.29,63.87942437248443,-148.21151255031154,0.55,0.0024023225174648363
2019-03-21 16:00:00,2019-03-25 16:00:00,3,NVTA,38,25.74,23.185666433795337,-97.06467551577714,0.73,0.0036518822183733398
2019-03-26 16:00:00,2019-03-29 16:00:00,4,DCAR,58,6.44,3.4023857885078717,-176.18162426654348,0.9299999999999999,0.00196801597973725
2019-04-01 16:00:00,2019-04-05 16:00:00,5,DBD,89,11.61,11.99,33.82000000000007,1.24,0.004031430773995854
2019-04-02 16:00:00,2019-04-04 16:00:00,3,OPTT,95,5.0,3.7447990350591573,-119.24409166938008,1.3,0.002943907512964503
2019-04-03 16:00:00,2019-04-15 16:00:00,9,CATB,114,8.12,8.37,28.499999999999986,1.5390000000000001,0.0026628877820981346
2019-04-04 16:00:00,2019-05-07 16:00:00,23,NM,122,3.36,3.9,65.88000000000002,1.647,0.0015073620376378181
2019-04-04 16:00:00,2019-04-09 16:00:00,4,TEUM,129,5.05,4.45,-77.39999999999995,1.7415,0.007042860987792661
2019-04-05 16:00:00,2019-04-09 16:00:00,3,HDSN,328,2.07,1.84,-75.43999999999991,4.428000000000001,0.02500746395239515
2019-04-05 16:00:00,2019-04-11 16:00:00,5,VCYT,48,26.41,25.16,-60.0,0.83,0.002343925989168476
2019-04-08 16:00:00,2019-04-11 16:00:00,4,SID,272,4.44,3.9794838963361503,-125.26038019656723,3.672,0.015143266238375128
2019-04-08 16:00:00,2019-04-12 16:00:00,5,EIDX,37,23.74,23.79,1.8500000000000263,0.72,0.0027390239056581966
2019-04-08 16:00:00,2019-04-12 16:00:00,5,JYNT,59,17.05,16.82,-13.570000000000025,0.94,0.003732812051809915
2019-04-08 16:00:00,2019-04-30 16:00:00,16,DBD,90,12.01,11.79,-19.800000000000068,1.25,0.0013127490991797581
2019-04-09 16:00:00,2019-04-15 16:00:00,5,CODA,67,11.2,12.4,80.40000000000008,1.02,0.0030184538428660074
2019-04-10 16:00:00,2019-04-16 16:00:00,5,OCX,181,4.47,4.48,1.810000000000123,2.4435000000000002,0.0085282923901827
2019-04-15 16:00:00,2019-04-22 16:00:00,5,SHIP,83,4.54,4.27,-22.410000000000036,1.1800000000000002,0.004576802208802191
2019-04-16 16:00:00,2019-04-23 16:00:00,5,AXSM,41,15.78,14.9,-36.079999999999956,0.76,0.002663298724035768
2019-04-16 16:00:00,2019-05-20 16:00:00,24,JYNT,76,17.09,17.25,12.159999999999997,1.1099999999999999,0.0006698384017492313
2019-04-18 16:00:00,2019-04-25 16:00:00,5,BOXL,110,4.33,4.25,-8.800000000000008,1.485,0.004631805391465098
2019-04-22 16:00:00,2019-04-26 16:00:00,5,IMTE,23,14.7,15.23,12.190000000000026,0.58,0.003276585828948365
2019-04-23 16:00:00,2019-04-29 16:00:00,5,AKTX,229,3.85,4.0,34.34999999999999,3.0915,0.006902583375194016
2019-04-24 16:00:00,2019-04-30 16:00:00,5,AXSM,45,16.25,16.95,31.49999999999997,0.8,0.0031105804254733167
2019-04-24 16:00:00,2019-05-06 16:00:00,9,CODA,57,14.39,14.56,9.689999999999984,0.92,0.0014576337166068976
2019-05-01 16:00:00,2019-05-06 16:00:00,4,SRAX,95,5.04,4.47,-54.150000000000034,1.3,0.00584325848718189
2019-05-02 16:00:00,2019-05-08 16:00:00,5,OESX,465,1.65,1.69,18.600000000000016,6.2775,0.03700840864506422
2019-05-02 16:00:00,2019-05-08 16:00:00,5,STNG,56,27.82,27.79,-1.6800000000000637,0.91,0.002499669595790593
2019-05-03 16:00:00,2019-05-09 16:00:00,5,HOV,67,16.33,17.2,58.29000000000006,1.02,0.002994497862207393
2019-05-06 16:00:00,2019-05-10 16:00:00,5,SNES,551,1.83,1.88,27.549999999999898,7.4384999999999994,0.022038381110062295
2019-05-06 16:00:00,2019-05-10 16:00:00,5,AXSM,49,19.1,19.54,21.55999999999989,0.84,0.0020406346270547787
2019-05-07 16:00:00,2019-05-13 16:00:00,5,CVM,94,7.22,7.94,67.68000000000006,1.29,0.004059131845040085
2019-05-14 16:00:00,2019-05-21 16:00:00,6,LIQT,207,8.88,9.2,66.2399999999997,2.7944999999999998,0.004299058671321953
2019-05-14 16:00:00,2019-05-23 16:00:00,8,ZYNE,43,13.18,13.97,33.97000000000004,0.78,0.0015190701472617499
2019-05-15 16:00:00,2019-05-21 16:00:00,5,ENPH,70,14.59,14.87,19.599999999999955,1.05,0.0030511670144879374
2019-05-16 16:00:00,2019-05-24 16:00:00,7,CATS,54,18.71,18.88,9.179999999999907,0.89,0.0021411842180416234
2019-05-16 16:00:00,2019-05-22 16:00:00,5,SHOP,5,278.01,273.99,-20.09999999999991,0.39999999999999997,0.00128587490930491
2019-05-17 16:00:00,2019-05-23 16:00:00,5,RAVE,229,2.64,3.02,87.01999999999998,3.0915,0.006892442672730254
2019-05-21 16:00:00,2019-05-28 16:00:00,5,AXSM,34,23.53,25.0,49.97999999999996,0.69,0.0020238372049705294
2019-05-21 16:00:00,2019-05-30 16:00:00,7,DMRC,11,63.7,63.5,-2.2000000000000313,0.45999999999999996,0.0009940711422224838
2019-05-22 16:00:00,2019-06-25 16:00:00,24,ENPH,63,15.22,16.3,68.03999999999998,0.98,0.0008139014716911783
2019-05-23 16:00:00,2019-05-30 16:00:00,5,ROKU,11,90.19,96.27,66.87999999999998,0.45999999999999996,0.0013732170606514003
2019-05-24 16:00:00,2019-05-30 16:00:00,4,ARQL,130,7.6,6.748658805209324,-110.67435532278785,1.7550000000000001,0.007030969470663643
2019-05-28 16:00:00,2019-06-03 16:00:00,5,SHOP,5,282.48,272.5,-49.90000000000009,0.39999999999999997,0.0014518129477877298
2019-05-28 16:00:00,2019-05-31 16:00:00,4,WKHS,84,1.78,1.46,-26.880000000000006,1.19,0.0042553900740705175
2019-05-28 16:00:00,2019-06-03 16:00:00,5,CYRX,71,18.17,17.0,-83.07000000000012,1.06,0.0028167999375299894
2019-05-29 16:00:00,2019-06-04 16:00:00,5,EVFM,92,5.92,6.44,47.840000000000046,1.27,0.003546274586160566
2019-05-30 16:00:00,2019-06-05 16:00:00,5,PRVB,184,4.5,4.39,-20.24000000000006,2.484,0.005969711818705597
2019-06-03 16:00:00,2019-07-25 16:00:00,38,IOVA,41,18.26,24.25,245.58999999999997,0.76,0.0004986140696696591
2019-06-03 16:00:00,2019-06-06 16:00:00,4,LIQT,84,10.42,9.029571558536626,-116.79598908292344,1.19,0.004040421089960213
2019-06-05 16:00:00,2019-06-11 16:00:00,5,ARWR,37,26.45,26.7,9.25,0.72,0.00254996307815174
2019-06-05 16:00:00,2019-06-11 16:00:00,5,ROKU,9,101.15,100.2,-8.550000000000026,0.43999999999999995,0.001848328599816719
2019-06-05 16:00:00,2019-06-11 16:00:00,5,MDCO,36,37.2,36.8,-14.400000000000205,0.71,0.002323324744484181
2019-06-05 16:00:00,2019-06-13 16:00:00,7,CDLX,49,24.99,24.87,-5.879999999999878,0.84,0.002351267894126001
2019-06-05 16:00:00,2019-08-01 16:00:00,41,WKHS,71,2.2,3.75,110.04999999999998,1.06,0.001203064421935972
2019-06-07 16:00:00,2019-06-13 16:00:00,5,ADVM,82,11.15,11.26,9.019999999999953,1.17,0.0035487443211942686
2019-06-10 16:00:00,2019-06-14 16:00:00,5,EVER,87,12.55,12.49,-5.2200000000000415,1.22,0.0044782008048269255
2019-06-12 16:00:00,2019-06-20 16:00:00,7,EVFM,102,6.51,6.48,-3.0599999999999348,1.377,0.0040614506705236595
2019-06-12 16:00:00,2019-06-18 16:00:00,5,ROKU,12,105.16,104.9,-3.119999999999891,0.47,0.0014646920210201573
2019-06-14 16:00:00,2019-06-20 16:00:00,5,ARRY,39,29.59,46.44,657.1499999999999,0.74,0.004019383573588212
2019-06-17 16:00:00,2019-06-21 16:00:00,5,CHMA,130,8.08,8.01,-9.10000000000004,1.7550000000000001,0.005200663250846523
2019-06-17 16:00:00,2019-07-17 16:00:00,22,GSHD,26,41.15,44.68,91.78000000000003,0.61,0.000605067014620672
2019-06-17 16:00:00,2019-06-21 16:00:00,5,ATOM,145,5.17,5.08,-13.049999999999983,1.9575,0.006278627015251869
2019-06-18 16:00:00,2019-06-24 16:00:00,5,ARWR,45,28.02,27.77,-11.25,0.8,0.003078957459450558
2019-06-19 16:00:00,2019-06-25 16:00:00,5,ELGX,156,7.87,7.8,-10.920000000000044,2.106,0.006051090825626117
2019-06-19 16:00:00,2019-06-25 16:00:00,5,ROKU,11,107.2,104.64,-28.160000000000025,0.45999999999999996,0.0015765088364254926
2019-06-20 16:00:00,2019-06-26 16:00:00,5,ODT,33,27.08,28.27,39.270000000000046,0.6799999999999999,0.0019121730068783038
2019-06-20 16:00:00,2019-06-26 16:00:00,5,DGAZ,4,190.11,193.81,14.799999999999955,0.38999999999999996,0.0010993251175097
2019-06-20 16:00:00,2019-06-24 16:00:00,3,IOTS,199,8.2,7.676273157965014,-104.22164156496214,2.6865,0.013664512715099383
2019-06-20 16:00:00,2019-06-26 16:00:00,5,GFI,286,5.41,5.36,-14.299999999999947,3.8609999999999998,0.010817845234592512
2019-06-20 16:00:00,2019-06-24 16:00:00,3,USAT,130,8.06,7.3573698145278215,-91.34192411138328,1.7550000000000001,0.010216178175896993
2019-06-21 16:00:00,2019-06-27 16:00:00,5,SE,43,34.51,34.9,16.770000000000024,0.78,0.0024044116077566883
2019-06-21 16:00:00,2019-07-01 16:00:00,7,RDVT,94,12.54,12.06,-45.11999999999988,1.29,0.0025137742329838357
2019-06-24 16:00:00,2019-06-28 16:00:00,5,NOVN,258,2.75,2.7,-12.899999999999954,3.483,0.011579413371599241
2019-06-24 16:00:00,2019-07-15 16:00:00,15,BMA,17,68.68,69.1,7.139999999999787,0.52,0.0007070520803684611
2019-06-27 16:00:00,2019-06-28 16:00:00,2,ARWR,59,28.39,26.08209473144631,-136.16641084466767,0.94,0.006877236506618606
2019-06-28 16:00:00,2019-07-08 16:00:00,6,ARQL,53,11.07,11.2,6.889999999999944,0.88,0.0024582532115423076
2019-06-28 16:00:00,2019-07-31 16:00:00,23,PAGS,44,38.44,43.48,221.75999999999993,0.79,0.0004651804028231726
2019-07-01 16:00:00,2019-07-08 16:00:00,5,OESX,227,3.11,3.03,-18.160000000000018,3.0645,0.013347700367672235
2019-07-01 16:00:00,2019-07-08 16:00:00,5,MLNT,32,7.17,6.67,-16.0,0.6699999999999999,0.002001341670103183
2019-07-01 16:00:00,2019-07-08 16:00:00,5,APLS,52,25.61,25.56,-2.600000000000037,0.87,0.002829980120166795
