entry_dt,exit_dt,days,symbol,size,entry_price,exit_price,pnl,cost,cost_risk_adjusted
2018-06-27 16:00:00,2018-06-28 16:00:00,2,RGSE,1105,0.665,0.6534,-12.81800000000006,14.9175,0.08501463247324322
2018-06-27 16:00:00,2018-06-28 16:00:00,2,SLS,229,3.75,3.3462,-92.47019999999999,3.0915,0.022715053254114236
2018-06-27 16:00:00,2018-06-28 16:00:00,2,KODK,361,4.175,4.058999999999999,-41.8760000000002,4.8735,0.03938668701648268
2018-06-28 16:00:00,2018-07-09 16:00:00,7,AQXP,103,2.21,2.69,49.44,1.3905,0.002944798683297407
2018-06-28 16:00:00,2018-06-29 16:00:00,2,SMMT,137,2.35,2.3265000000000002,-3.21949999999998,1.8495000000000001,0.015860383798811818
2018-06-28 16:00:00,2018-06-29 16:00:00,2,CHFS,529,2.1,2.079,-11.108999999999952,7.141500000000001,0.049074320780864086
2018-06-28 16:00:00,2018-06-29 16:00:00,2,CEPU,111,10.04,9.7317,-34.2212999999999,1.4985000000000002,0.011562757008578119
2018-06-29 16:00:00,2018-07-03 16:00:00,3,CVM,400,0.9,0.8669,-13.240000000000007,5.4,0.03003122978269515
2018-06-29 16:00:00,2018-07-05 16:00:00,4,SLS,225,3.42,3.26,-36.00000000000003,3.0375,0.01378504886038535
2018-06-29 16:00:00,2018-07-16 16:00:00,11,KERX,287,3.76,4.33,163.5900000000001,3.8745000000000003,0.004514066245188648
2018-07-02 16:00:00,2018-07-03 16:00:00,2,CYH,318,3.125,3.0888,-11.511600000000003,4.293,0.03251883710346819
2018-07-02 16:00:00,2018-07-05 16:00:00,3,CHFS,522,1.72,1.66,-31.32000000000003,7.047,0.028513343542226316
2018-07-03 16:00:00,2018-07-05 16:00:00,2,RGSE,1031,0.4,0.396,-4.124000000000004,13.918500000000002,0.10275183779060869
2018-07-05 16:00:00,2018-07-10 16:00:00,4,BBOX,666,0.99,2.05,705.9599999999999,8.991,0.013773863198637276
2018-07-09 16:00:00,2018-07-10 16:00:00,2,RGLS,1446,0.36,0.34551,-20.952540000000003,19.521,0.1404837881462438
2018-07-09 16:00:00,2018-07-10 16:00:00,2,RIOT,180,4.96,4.752,-37.44000000000003,2.43,0.018388719796073875
2018-07-10 16:00:00,2018-07-11 16:00:00,2,IOTS,136,6.8,6.336,-63.103999999999935,1.836,0.012577016126039791
2018-07-10 16:00:00,2018-07-11 16:00:00,2,AMSC,207,5.35,5.1876,-33.61679999999998,2.7944999999999998,0.02152557378601524
2018-07-10 16:00:00,2018-07-16 16:00:00,5,COLL,54,19.02,19.4,20.519999999999946,0.89,0.0029006714989532104
2018-07-11 16:00:00,2018-07-12 16:00:00,2,RGLS,1438,0.3269,0.314622,-17.655764000000016,19.080822,0.1589170276823399
2018-07-11 16:00:00,2018-07-13 16:00:00,3,INTX,805,1.78,1.73,-40.250000000000036,10.8675,0.04566825214140308
